date,quantity,suppliers_currency,transformer_unit_price,dry_or_oil,rated_power_kVA,primary_winding,secondary_winding,no_load_losses,full_load_losses_75,full_load_losses_120,rated_volt_primary_side,filename
31 Aug 2021,1,EUR,57800,Dry,6113.0,Aluminium,Aluminium,20000.0,,94000.0,6.0,QTTrasfor7.pdf
24 May 2022,1,EUR,660000,Dry,5400.0,Aluminium,Aluminium,100000.0,,,30.0,QTTrasfor8-2.pdf
2020-06-10,26,EUR,99000,Dry,6000.0,Aluminium,Aluminium,12200.0,,66000.0,33.0,SGB2_ABB.pdf
11/09/2020,26,EUR,99000,Dry,6000.0,Aluminium,Aluminium,12200.0,,66000.0,33.0,SGB2_ABB.pdf
02.08.2022,16,EUR,150000,Dry,8000.0,Aluminium,Aluminium,9500.0,90000.0,90000.0,33.0,SGB4-Datasheet.pdf
02.08.2022,1,EUR,57500,Dry,8000.0,Aluminium,Aluminium,9500.0,,90000.0,33.0,SGB4-Datasheet.pdf
2022-08-02,1,EUR,150000,Dry,8000.0,Aluminium,Aluminium,9500.0,90000.0,90000.0,33.0,SGB4-Datasheet.pdf
02.08.2022,4,EUR,22000,Dry,8000.0,Aluminium,Aluminium,9500.0,,90000.0,33.0,SGB4-Datasheet.pdf
09.09.2022,2,EUR,37250,Oil,1800.0,Aluminium,Aluminium,2400.0,,14500.0,10.0,SGB5_ABB.pdf
09.09.2022,2,EUR,11340,,250.0,Aluminium,Aluminium,468.0,,3400.0,10.0,SGB5_ABB.pdf
09.09.2022,1,EUR,30160,Dry,1500.0,Aluminium,Aluminium,1877.0,,12429.0,10.0,SGB5_ABB.pdf
