,date,quantity,suppliers_currency,transformer_unit_price,dry_or_oil,rated_power_kVA,primary_winding,secondary_winding,no_load_loss,full_load_loss_75,full_load_loss_120,rated_volt_primary_side
167,2021-09-27,2.0,EUR,172000.0,Dry,15000.0,Aluminum,Aluminum,28000.0,120000.0,147816.05929994874,34500.0
168,2021-05-04,5.0,EUR,120000.0,Dry,15000.0,Aluminum,Aluminum,18000.0,118000.0,147816.05929994874,6000.0
173,2021-08-31,1.0,EUR,57800.0,Dry,6113.0,Aluminum,Aluminum,7484.65742448262,52252.32753373339,8100.0,6000.0
175,2022-05-24,3.0,EUR,132000.0,Oil,5000.0,Copper,Aluminum,6496.039488719516,27000.0,49000.0,450.0
176,2022-05-24,1.0,EUR,660000.0,Dry,5400.0,Aluminum,Aluminum,1000.0,46869.12375127504,53975.64828665044,30000.0
179,2023-03-17,3.0,EUR,46700.0,Dry,2000.0,Aluminum,Aluminum,2340.0,21198.86728513424,16000.0,22000.0
180,2020-09-11,12.0,EUR,183333.0,Dry,6000.0,Aluminum,Aluminum,12200.0,51399.16901000577,66000.0,36000.0
181,2022-08-02,1.0,EUR,150000.0,Dry,8000.0,Aluminum,Aluminum,9500.0,66499.31987244153,79390.75960275205,33000.0
182,2022-08-02,1.0,EUR,150000.0,Dry,8000.0,Aluminum,Aluminum,9500.0,66499.31987244153,90000.0,33000.0
184,2022-08-02,1.0,EUR,22000.0,Dry,8000.0,Aluminum,Aluminum,9500.0,90000.0,90000.0,33000.0
185,2022-09-09,2.0,EUR,37250.0,Dry,1800.0,Aluminum,Aluminum,2160.0,19688.852198890665,14500.0,10000.0
186,2022-09-09,1.0,EUR,30710.0,Oil,1500.0,Aluminum,Aluminum,1877.0,17423.829569525296,12429.0,10000.0
187,2022-09-09,2.0,EUR,11340.0,Dry,250.0,Aluminum,Aluminum,468.0,3400.0,3400.0,10000.0
188,2022-09-09,2.0,EUR,11340.0,Dry,250.0,Aluminum,Aluminum,468.0,7986.235280502946,3400.0,10000.0
